REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025-01-01 00:00:00,4739.448797814208,75.45251366120219,AVERAGE
VIC1,2025-01-01 00:05:00,4727.992131147541,79.73213114754098,AVERAGE
VIC1,2025-01-01 00:10:00,4691.623387978142,80.62693989071037,AVERAGE
VIC1,2025-01-01 00:15:00,4660.050054644809,77.78907103825136,AVERAGE
VIC1,2025-01-01 00:20:00,4638.630382513661,76.58622950819672,AVERAGE
VIC1,2025-01-01 00:25:00,4613.355191256831,76.07180327868852,AVERAGE
VIC1,2025-01-01 00:30:00,4591.572896174863,72.04049180327868,AVERAGE
VIC1,2025-01-01 00:35:00,4564.873715846995,73.21890710382513,AVERAGE
VIC1,2025-01-01 00:40:00,4546.594153005464,75.38174863387978,AVERAGE
VIC1,2025-01-01 00:45:00,4520.892404371585,73.59092896174863,AVERAGE
VIC1,2025-01-01 00:50:00,4503.419890710383,72.02765027322404,AVERAGE
VIC1,2025-01-01 00:55:00,4480.7440437158475,72.4108743169399,AVERAGE
VIC1,2025-01-01 01:00:00,4459.424480874317,69.48579234972678,AVERAGE
VIC1,2025-01-01 01:05:00,4446.500109289617,73.2431693989071,AVERAGE
VIC1,2025-01-01 01:10:00,4433.71524590164,74.12633879781421,AVERAGE
VIC1,2025-01-01 01:15:00,4413.590765027322,70.57781420765028,AVERAGE
VIC1,2025-01-01 01:20:00,4387.503387978142,70.0207650273224,AVERAGE
VIC1,2025-01-01 01:25:00,4363.405956284153,67.06005464480874,AVERAGE
VIC1,2025-01-01 01:30:00,4340.483551912568,65.56551912568305,AVERAGE
VIC1,2025-01-01 01:35:00,4318.69519125683,69.25508196721312,AVERAGE
VIC1,2025-01-01 01:40:00,4300.989180327869,68.50841530054645,AVERAGE
VIC1,2025-01-01 01:45:00,4274.810109289618,66.75732240437159,AVERAGE
VIC1,2025-01-01 01:50:00,4253.377267759563,64.69540983606558,AVERAGE
VIC1,2025-01-01 01:55:00,4234.919672131148,63.843005464480875,AVERAGE
VIC1,2025-01-01 02:00:00,4218.722786885246,62.10857923497268,AVERAGE
VIC1,2025-01-01 02:05:00,4205.094590163934,66.31098360655737,AVERAGE
VIC1,2025-01-01 02:10:00,4194.191038251366,66.41896174863388,AVERAGE
VIC1,2025-01-01 02:15:00,4186.873005464481,65.69524590163934,AVERAGE
VIC1,2025-01-01 02:20:00,4175.081530054645,64.45579234972678,AVERAGE
VIC1,2025-01-01 02:25:00,4156.446666666667,62.21032786885246,AVERAGE
VIC1,2025-01-01 02:30:00,4145.86131147541,62.33387978142077,AVERAGE
VIC1,2025-01-01 02:35:00,4133.9012021857925,62.31114754098361,AVERAGE
VIC1,2025-01-01 02:40:00,4129.93956284153,62.75737704918033,AVERAGE
VIC1,2025-01-01 02:45:00,4120.755300546448,62.73868852459017,AVERAGE
VIC1,2025-01-01 02:50:00,4110.1404371584695,59.96650273224044,AVERAGE
VIC1,2025-01-01 02:55:00,4102.3397267759565,59.246502732240444,AVERAGE
VIC1,2025-01-01 03:00:00,4098.153387978142,58.64180327868853,AVERAGE
VIC1,2025-01-01 03:05:00,4094.5293989071038,60.73469945355192,AVERAGE
VIC1,2025-01-01 03:10:00,4102.838142076503,63.57775956284153,AVERAGE
VIC1,2025-01-01 03:15:00,4099.3557923497265,62.46857923497268,AVERAGE
VIC1,2025-01-01 03:20:00,4103.7539344262295,60.91349726775956,AVERAGE
VIC1,2025-01-01 03:25:00,4099.207923497268,61.3855737704918,AVERAGE
VIC1,2025-01-01 03:30:00,4094.6172131147537,58.75612021857924,AVERAGE
VIC1,2025-01-01 03:35:00,4093.3653551912566,60.369508196721306,AVERAGE
VIC1,2025-01-01 03:40:00,4107.106120218579,63.20224043715847,AVERAGE
VIC1,2025-01-01 03:45:00,4107.968306010929,61.591092896174864,AVERAGE
VIC1,2025-01-01 03:50:00,4108.790765027322,61.65032786885246,AVERAGE
VIC1,2025-01-01 03:55:00,4117.64306010929,62.341202185792355,AVERAGE
VIC1,2025-01-01 04:00:00,4117.324644808743,62.87191256830601,AVERAGE
VIC1,2025-01-01 04:05:00,4130.4597814207655,61.41398907103825,AVERAGE
VIC1,2025-01-01 04:10:00,4163.578961748633,64.9603825136612,AVERAGE
VIC1,2025-01-01 04:15:00,4169.999453551913,64.2320218579235,AVERAGE
VIC1,2025-01-01 04:20:00,4182.052677595629,63.99704918032786,AVERAGE
VIC1,2025-01-01 04:25:00,4201.259617486339,64.7792349726776,AVERAGE
VIC1,2025-01-01 04:30:00,4206.135956284153,63.96251366120218,AVERAGE
VIC1,2025-01-01 04:35:00,4218.015519125683,63.463551912568306,AVERAGE
VIC1,2025-01-01 04:40:00,4251.035956284153,66.44956284153005,AVERAGE
VIC1,2025-01-01 04:45:00,4263.926502732241,66.74672131147541,AVERAGE
VIC1,2025-01-01 04:50:00,4284.945901639344,70.70551912568307,AVERAGE
