REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025-03-01 00:00:00,4494.57,124.5,TRADE
VIC1,2025-03-01 00:05:00,4558.66,144.97,TRADE
VIC1,2025-03-01 00:10:00,4492.06,122.49,TRADE
VIC1,2025-03-01 00:15:00,4456.54,120.0,TRADE
VIC1,2025-03-01 00:20:00,4400.88,119.81,TRADE
VIC1,2025-03-01 00:25:00,4403.96,120.56,TRADE
VIC1,2025-03-01 00:30:00,4299.42,119.43,TRADE
VIC1,2025-03-01 00:35:00,4353.81,120.92,TRADE
VIC1,2025-03-01 00:40:00,4293.42,120.0,TRADE
VIC1,2025-03-01 00:45:00,4258.99,119.43,TRADE
VIC1,2025-03-01 00:50:00,4342.94,122.18,TRADE
VIC1,2025-03-01 00:55:00,4323.87,120.0,TRADE
VIC1,2025-03-01 01:00:00,4294.35,119.81,TRADE
VIC1,2025-03-01 01:05:00,4300.53,141.69,TRADE
VIC1,2025-03-01 01:10:00,4302.54,144.69,TRADE
VIC1,2025-03-01 01:15:00,4268.19,150.91,TRADE
VIC1,2025-03-01 01:20:00,4236.21,150.69,TRADE
VIC1,2025-03-01 01:25:00,4133.61,125.77,TRADE
VIC1,2025-03-01 01:30:00,4091.46,148.99,TRADE
VIC1,2025-03-01 01:35:00,4138.24,149.85,TRADE
VIC1,2025-03-01 01:40:00,4077.02,143.47,TRADE
VIC1,2025-03-01 01:45:00,4052.42,145.43,TRADE
VIC1,2025-03-01 01:50:00,4042.17,128.71,TRADE
VIC1,2025-03-01 01:55:00,4040.79,123.64,TRADE
VIC1,2025-03-01 02:00:00,4045.66,121.63,TRADE
VIC1,2025-03-01 02:05:00,3969.93,120.27,TRADE
VIC1,2025-03-01 02:10:00,3964.94,121.17,TRADE
VIC1,2025-03-01 02:15:00,4035.84,123.55,TRADE
VIC1,2025-03-01 02:20:00,4051.84,124.41,TRADE
VIC1,2025-03-01 02:25:00,3959.05,117.24,TRADE
VIC1,2025-03-01 02:30:00,4037.18,121.84,TRADE
VIC1,2025-03-01 02:35:00,4006.09,125.27,TRADE
VIC1,2025-03-01 02:40:00,4005.04,126.1,TRADE
VIC1,2025-03-01 02:45:00,3942.2,121.95,TRADE
VIC1,2025-03-01 02:50:00,3925.02,121.65,TRADE
VIC1,2025-03-01 02:55:00,3937.47,121.48,TRADE
VIC1,2025-03-01 03:00:00,4020.03,122.41,TRADE
VIC1,2025-03-01 03:05:00,3998.68,121.58,TRADE
VIC1,2025-03-01 03:10:00,3936.5,123.05,TRADE
VIC1,2025-03-01 03:15:00,3990.42,121.71,TRADE
VIC1,2025-03-01 03:20:00,3972.35,124.35,TRADE
VIC1,2025-03-01 03:25:00,3958.03,121.22,TRADE
VIC1,2025-03-01 03:30:00,3926.56,121.27,TRADE
VIC1,2025-03-01 03:35:00,3918.24,128.04,TRADE
VIC1,2025-03-01 03:40:00,3896.97,127.1,TRADE
VIC1,2025-03-01 03:45:00,3965.92,129.98,TRADE
VIC1,2025-03-01 03:50:00,3939.8,151.14,TRADE
VIC1,2025-03-01 03:55:00,3967.79,147.68,TRADE
VIC1,2025-03-01 04:00:00,3995.78,131.88,TRADE
VIC1,2025-03-01 04:05:00,3987.77,120.0,TRADE
VIC1,2025-03-01 04:10:00,3913.4,120.0,TRADE
VIC1,2025-03-01 04:15:00,3952.4,132.8,TRADE
VIC1,2025-03-01 04:20:00,4054.87,137.17,TRADE
VIC1,2025-03-01 04:25:00,4094.12,141.43,TRADE
VIC1,2025-03-01 04:30:00,4038.9,121.83,TRADE
VIC1,2025-03-01 04:35:00,3986.48,120.92,TRADE
VIC1,2025-03-01 04:40:00,4033.69,121.83,TRADE
VIC1,2025-03-01 04:45:00,4072.51,123.51,TRADE
VIC1,2025-03-01 04:50:00,4100.34,139.65,TRADE
VIC1,2025-03-01 04:55:00,4062.39,122.23,TRADE
VIC1,2025-03-01 05:00:00,4115.82,122.75,TRADE
VIC1,2025-03-01 05:05:00,4171.53,122.49,TRADE
VIC1,2025-03-01 05:10:00,4159.25,122.51,TRADE
VIC1,2025-03-01 05:15:00,4215.48,122.85,TRADE
VIC1,2025-03-01 05:20:00,4315.66,123.93,TRADE
VIC1,2025-03-01 05:25:00,4247.49,124.24,TRADE
VIC1,2025-03-01 05:30:00,4207.06,138.94,TRADE
VIC1,2025-03-01 05:35:00,4242.6,124.6,TRADE
VIC1,2025-03-01 05:40:00,4348.9,160.0,TRADE
VIC1,2025-03-01 05:45:00,4362.27,155.64,TRADE
VIC1,2025-03-01 05:50:00,4454.83,167.21,TRADE
VIC1,2025-03-01 05:55:00,4374.8,160.0,TRADE
VIC1,2025-03-01 06:00:00,4467.36,169.07,TRADE
VIC1,2025-03-01 06:05:00,4461.52,168.06,TRADE
VIC1,2025-03-01 06:10:00,4484.28,170.82,TRADE
VIC1,2025-03-01 06:15:00,4502.04,236.67,TRADE
VIC1,2025-03-01 06:20:00,4427.78,166.22,TRADE
VIC1,2025-03-01 06:25:00,4412.11,153.32,TRADE
VIC1,2025-03-01 06:30:00,4502.56,135.71,TRADE
VIC1,2025-03-01 06:35:00,4373.78,122.23,TRADE
VIC1,2025-03-01 06:40:00,4346.95,120.6,TRADE
VIC1,2025-03-01 06:45:00,4365.17,122.26,TRADE
VIC1,2025-03-01 06:50:00,4355.07,113.32,TRADE
VIC1,2025-03-01 06:55:00,4307.78,99.04,TRADE
VIC1,2025-03-01 07:00:00,4395.79,120.73,TRADE
VIC1,2025-03-01 07:05:00,4254.36,116.92,TRADE
VIC1,2025-03-01 07:10:00,4213.35,114.88,TRADE
VIC1,2025-03-01 07:15:00,4150.78,28.15,TRADE
VIC1,2025-03-01 07:20:00,4194.99,33.89,TRADE
VIC1,2025-03-01 07:25:00,4189.82,33.89,TRADE
VIC1,2025-03-01 07:30:00,4195.29,40.31,TRADE
VIC1,2025-03-01 07:35:00,4076.56,12.0,TRADE
VIC1,2025-03-01 07:40:00,4151.06,15.95,TRADE
VIC1,2025-03-01 07:45:00,4020.35,33.89,TRADE
VIC1,2025-03-01 07:50:00,3980.12,20.04,TRADE
VIC1,2025-03-01 07:55:00,3962.45,33.89,TRADE
VIC1,2025-03-01 08:00:00,3876.79,12.0,TRADE
VIC1,2025-03-01 08:05:00,3916.87,37.17,TRADE
VIC1,2025-03-01 08:10:00,3869.92,45.89,TRADE
VIC1,2025-03-01 08:15:00,3860.01,36.01,TRADE
VIC1,2025-03-01 08:20:00,3912.23,15.23,TRADE
VIC1,2025-03-01 08:25:00,3908.61,8.95,TRADE
VIC1,2025-03-01 08:30:00,3733.02,1.03,TRADE
VIC1,2025-03-01 08:35:00,3778.22,9.0,TRADE
VIC1,2025-03-01 08:40:00,3570.59,19.63,TRADE
VIC1,2025-03-01 08:45:00,3562.04,8.95,TRADE
VIC1,2025-03-01 08:50:00,3718.13,8.95,TRADE
VIC1,2025-03-01 08:55:00,3666.56,1.8,TRADE
VIC1,2025-03-01 09:00:00,3614.48,0.0,TRADE
VIC1,2025-03-01 09:05:00,3483.96,8.95,TRADE
VIC1,2025-03-01 09:10:00,3464.55,45.89,TRADE
VIC1,2025-03-01 09:15:00,3439.83,23.79,TRADE
VIC1,2025-03-01 09:20:00,3318.12,0.0,TRADE
VIC1,2025-03-01 09:25:00,3261.69,8.95,TRADE
VIC1,2025-03-01 09:30:00,3246.65,8.95,TRADE
VIC1,2025-03-01 09:35:00,3255.59,8.95,TRADE
VIC1,2025-03-01 09:40:00,3131.46,-1.97,TRADE
VIC1,2025-03-01 09:45:00,3195.0,8.95,TRADE
VIC1,2025-03-01 09:50:00,3088.58,0.99,TRADE
VIC1,2025-03-01 09:55:00,2996.15,0.0,TRADE
VIC1,2025-03-01 10:00:00,2986.09,8.95,TRADE
