REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025-01-01 00:05:00,4339.0,130.0,TRADE
VIC1,2025-01-01 00:10:00,4310.79,125.5,TRADE
VIC1,2025-01-01 00:15:00,4243.74,129.02,TRADE
VIC1,2025-01-01 00:20:00,4269.83,116.97,TRADE
VIC1,2025-01-01 00:25:00,4242.11,116.5,TRADE
VIC1,2025-01-01 00:30:00,4217.03,119.44,TRADE
VIC1,2025-01-01 00:35:00,4194.26,110.18,TRADE
VIC1,2025-01-01 00:40:00,4196.62,118.58,TRADE
VIC1,2025-01-01 00:45:00,4160.17,119.08,TRADE
VIC1,2025-01-01 00:50:00,4158.5,117.29,TRADE
VIC1,2025-01-01 00:55:00,4155.03,130.0,TRADE
VIC1,2025-01-01 01:00:00,4127.38,119.1,TRADE
VIC1,2025-01-01 01:05:00,4102.84,118.63,TRADE
VIC1,2025-01-01 01:10:00,4124.8,119.2,TRADE
VIC1,2025-01-01 01:15:00,4088.19,109.61,TRADE
VIC1,2025-01-01 01:20:00,4068.73,119.39,TRADE
VIC1,2025-01-01 01:25:00,4049.82,115.48,TRADE
VIC1,2025-01-01 01:30:00,4000.47,110.84,TRADE
VIC1,2025-01-01 01:35:00,4002.96,110.7,TRADE
VIC1,2025-01-01 01:40:00,3999.07,106.3,TRADE
VIC1,2025-01-01 01:45:00,3997.75,106.18,TRADE
VIC1,2025-01-01 01:50:00,3950.42,104.15,TRADE
VIC1,2025-01-01 01:55:00,3961.03,104.81,TRADE
VIC1,2025-01-01 02:00:00,3922.86,104.48,TRADE
VIC1,2025-01-01 02:05:00,3917.03,104.44,TRADE
VIC1,2025-01-01 02:10:00,3883.1,105.37,TRADE
VIC1,2025-01-01 02:15:00,3838.28,102.77,TRADE
VIC1,2025-01-01 02:20:00,3869.16,103.52,TRADE
VIC1,2025-01-01 02:25:00,3830.64,101.82,TRADE
VIC1,2025-01-01 02:30:00,3806.88,100.99,TRADE
VIC1,2025-01-01 02:35:00,3769.81,100.13,TRADE
VIC1,2025-01-01 02:40:00,3787.87,100.08,TRADE
VIC1,2025-01-01 02:45:00,3765.55,99.0,TRADE
VIC1,2025-01-01 02:50:00,3775.7,99.0,TRADE
VIC1,2025-01-01 02:55:00,3739.82,99.0,TRADE
VIC1,2025-01-01 03:00:00,3752.65,99.0,TRADE
VIC1,2025-01-01 03:05:00,3725.24,99.0,TRADE
VIC1,2025-01-01 03:10:00,3720.96,99.0,TRADE
VIC1,2025-01-01 03:15:00,3738.48,99.82,TRADE
VIC1,2025-01-01 03:20:00,3733.99,98.35,TRADE
VIC1,2025-01-01 03:25:00,3787.79,99.0,TRADE
VIC1,2025-01-01 03:30:00,3730.21,99.0,TRADE
VIC1,2025-01-01 03:35:00,3722.16,99.0,TRADE
VIC1,2025-01-01 03:40:00,3745.7,101.06,TRADE
VIC1,2025-01-01 03:45:00,3708.85,99.04,TRADE
VIC1,2025-01-01 03:50:00,3734.06,99.0,TRADE
VIC1,2025-01-01 03:55:00,3731.38,99.0,TRADE
VIC1,2025-01-01 04:00:00,3733.96,99.0,TRADE
VIC1,2025-01-01 04:05:00,3750.01,101.38,TRADE
VIC1,2025-01-01 04:10:00,3763.55,101.3,TRADE
VIC1,2025-01-01 04:15:00,3756.89,99.0,TRADE
VIC1,2025-01-01 04:20:00,3741.92,99.0,TRADE
VIC1,2025-01-01 04:25:00,3771.72,99.0,TRADE
VIC1,2025-01-01 04:30:00,3765.92,99.0,TRADE
VIC1,2025-01-01 04:35:00,3774.36,99.0,TRADE
VIC1,2025-01-01 04:40:00,3784.91,99.0,TRADE
VIC1,2025-01-01 04:45:00,3746.57,99.0,TRADE
VIC1,2025-01-01 04:50:00,3765.71,99.0,TRADE
VIC1,2025-01-01 04:55:00,3744.6,97.45,TRADE
VIC1,2025-01-01 05:00:00,3746.72,98.92,TRADE
VIC1,2025-01-01 05:05:00,3746.05,99.0,TRADE
VIC1,2025-01-01 05:10:00,3735.9,99.0,TRADE
VIC1,2025-01-01 05:15:00,3714.9,98.17,TRADE
VIC1,2025-01-01 05:20:00,3721.57,97.36,TRADE
VIC1,2025-01-01 05:25:00,3713.06,93.88,TRADE
VIC1,2025-01-01 05:30:00,3689.71,85.68,TRADE
VIC1,2025-01-01 05:35:00,3664.64,82.77,TRADE
VIC1,2025-01-01 05:40:00,3654.44,84.19,TRADE
VIC1,2025-01-01 05:45:00,3618.89,78.43,TRADE
VIC1,2025-01-01 05:50:00,3630.04,74.81,TRADE
VIC1,2025-01-01 05:55:00,3594.48,53.46,TRADE
VIC1,2025-01-01 06:00:00,3592.56,53.4,TRADE
VIC1,2025-01-01 06:05:00,3585.92,19.19,TRADE
VIC1,2025-01-01 06:10:00,3609.37,41.63,TRADE
VIC1,2025-01-01 06:15:00,3587.13,12.0,TRADE
VIC1,2025-01-01 06:20:00,3562.96,-14.7,TRADE
VIC1,2025-01-01 06:25:00,3528.54,-18.31,TRADE
VIC1,2025-01-01 06:30:00,3494.5,-18.71,TRADE
VIC1,2025-01-01 06:35:00,3435.34,-18.79,TRADE
VIC1,2025-01-01 06:40:00,3410.02,-18.48,TRADE
VIC1,2025-01-01 06:45:00,3382.75,-19.57,TRADE
VIC1,2025-01-01 06:50:00,3400.19,-30.5,TRADE
VIC1,2025-01-01 06:55:00,3398.73,-30.45,TRADE
VIC1,2025-01-01 07:00:00,3384.0,-25.87,TRADE
VIC1,2025-01-01 07:05:00,3372.6,-25.34,TRADE
VIC1,2025-01-01 07:10:00,3309.18,-21.0,TRADE
VIC1,2025-01-01 07:15:00,3228.25,-32.0,TRADE
VIC1,2025-01-01 07:20:00,3265.78,-28.9,TRADE
VIC1,2025-01-01 07:25:00,3243.83,-29.3,TRADE
VIC1,2025-01-01 07:30:00,3192.93,-29.79,TRADE
VIC1,2025-01-01 07:35:00,3149.26,-32.0,TRADE
VIC1,2025-01-01 07:40:00,3181.4,-30.79,TRADE
VIC1,2025-01-01 07:45:00,3135.55,-32.0,TRADE
VIC1,2025-01-01 07:50:00,3164.43,-33.0,TRADE
VIC1,2025-01-01 07:55:00,3122.91,-31.58,TRADE
VIC1,2025-01-01 08:00:00,3055.05,-30.37,TRADE
VIC1,2025-01-01 08:05:00,3011.05,-32.0,TRADE
VIC1,2025-01-01 08:10:00,3020.8,-32.0,TRADE
VIC1,2025-01-01 08:15:00,2983.51,-32.0,TRADE
VIC1,2025-01-01 08:20:00,2954.96,-33.84,TRADE
VIC1,2025-01-01 08:25:00,2939.29,-34.67,TRADE
VIC1,2025-01-01 08:30:00,2923.77,-35.05,TRADE
VIC1,2025-01-01 08:35:00,2973.34,-35.41,TRADE
VIC1,2025-01-01 08:40:00,2936.47,-35.34,TRADE
VIC1,2025-01-01 08:45:00,2867.68,-37.41,TRADE
VIC1,2025-01-01 08:50:00,2899.16,-37.77,TRADE
VIC1,2025-01-01 08:55:00,2842.41,-50.08,TRADE
VIC1,2025-01-01 09:00:00,2799.96,-38.94,TRADE
VIC1,2025-01-01 09:05:00,2673.83,-66.3,TRADE
VIC1,2025-01-01 09:10:00,2647.68,-46.55,TRADE
VIC1,2025-01-01 09:15:00,2538.82,-66.3,TRADE
VIC1,2025-01-01 09:20:00,2523.65,-66.3,TRADE
VIC1,2025-01-01 09:25:00,2427.33,-66.3,TRADE
VIC1,2025-01-01 09:30:00,2373.53,-162.31,TRADE
VIC1,2025-01-01 09:35:00,2296.58,-66.3,TRADE
