REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025-01-04 00:00:00,4582.41,106.39,TRADE
VIC1,2025-01-04 00:05:00,4596.04,118.51,TRADE
VIC1,2025-01-04 00:10:00,4521.08,105.12,TRADE
VIC1,2025-01-04 00:15:00,4492.77,104.1,TRADE
VIC1,2025-01-04 00:20:00,4475.46,104.43,TRADE
VIC1,2025-01-04 00:25:00,4444.08,102.57,TRADE
VIC1,2025-01-04 00:30:00,4435.66,102.99,TRADE
VIC1,2025-01-04 00:35:00,4412.93,104.1,TRADE
VIC1,2025-01-04 00:40:00,4380.94,107.22,TRADE
VIC1,2025-01-04 00:45:00,4353.73,125.62,TRADE
VIC1,2025-01-04 00:50:00,4319.34,104.98,TRADE
VIC1,2025-01-04 00:55:00,4308.9,105.83,TRADE
VIC1,2025-01-04 01:00:00,4297.64,123.02,TRADE
VIC1,2025-01-04 01:05:00,4247.32,106.68,TRADE
VIC1,2025-01-04 01:10:00,4266.11,107.77,TRADE
VIC1,2025-01-04 01:15:00,4226.04,107.77,TRADE
VIC1,2025-01-04 01:20:00,4198.55,107.85,TRADE
VIC1,2025-01-04 01:25:00,4174.12,107.22,TRADE
VIC1,2025-01-04 01:30:00,4143.66,106.41,TRADE
VIC1,2025-01-04 01:35:00,4120.15,106.51,TRADE
VIC1,2025-01-04 01:40:00,4101.71,107.33,TRADE
VIC1,2025-01-04 01:45:00,4090.06,108.03,TRADE
VIC1,2025-01-04 01:50:00,4064.7,107.43,TRADE
VIC1,2025-01-04 01:55:00,4020.83,104.07,TRADE
VIC1,2025-01-04 02:00:00,4036.1,105.56,TRADE
VIC1,2025-01-04 02:05:00,4016.66,121.19,TRADE
VIC1,2025-01-04 02:10:00,4009.17,119.2,TRADE
VIC1,2025-01-04 02:15:00,4019.52,120.09,TRADE
VIC1,2025-01-04 02:20:00,4014.38,120.96,TRADE
VIC1,2025-01-04 02:25:00,3984.82,108.42,TRADE
VIC1,2025-01-04 02:30:00,3978.15,120.11,TRADE
VIC1,2025-01-04 02:35:00,3950.7,120.09,TRADE
VIC1,2025-01-04 02:40:00,3932.13,120.44,TRADE
VIC1,2025-01-04 02:45:00,3936.8,107.8,TRADE
VIC1,2025-01-04 02:50:00,3916.3,106.46,TRADE
VIC1,2025-01-04 02:55:00,3879.71,99.01,TRADE
