REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025-06-02 00:00:00,4760.21,-20.0,TRADE
VIC1,2025-06-02 00:05:00,4863.53,51.36,TRADE
VIC1,2025-06-02 00:10:00,4812.54,67.1,TRADE
VIC1,2025-06-02 00:15:00,4797.61,53.29,TRADE
VIC1,2025-06-02 00:20:00,4764.81,53.0,TRADE
VIC1,2025-06-02 00:25:00,4746.36,19.19,TRADE
VIC1,2025-06-02 00:30:00,4699.53,47.48,TRADE
VIC1,2025-06-02 00:35:00,4698.85,19.19,TRADE
VIC1,2025-06-02 00:40:00,4574.25,-20.0,TRADE
VIC1,2025-06-02 00:45:00,4602.13,20.01,TRADE
VIC1,2025-06-02 00:50:00,4595.95,18.39,TRADE
VIC1,2025-06-02 00:55:00,4555.5,20.01,TRADE
VIC1,2025-06-02 01:00:00,4546.77,19.19,TRADE
VIC1,2025-06-02 01:05:00,4525.42,40.87,TRADE
VIC1,2025-06-02 01:10:00,4515.69,0.01,TRADE
VIC1,2025-06-02 01:15:00,4418.81,8.95,TRADE
VIC1,2025-06-02 01:20:00,4355.09,0.01,TRADE
VIC1,2025-06-02 01:25:00,4415.79,20.01,TRADE
VIC1,2025-06-02 01:30:00,4317.71,8.95,TRADE
VIC1,2025-06-02 01:35:00,4312.31,19.19,TRADE
VIC1,2025-06-02 01:40:00,4393.44,2.95,TRADE
VIC1,2025-06-02 01:45:00,4336.25,20.01,TRADE
VIC1,2025-06-02 01:50:00,4334.03,0.01,TRADE
VIC1,2025-06-02 01:55:00,4295.36,19.19,TRADE
VIC1,2025-06-02 02:00:00,4222.25,8.95,TRADE
VIC1,2025-06-02 02:05:00,4272.3,20.01,TRADE
VIC1,2025-06-02 02:10:00,4203.85,19.19,TRADE
VIC1,2025-06-02 02:15:00,4196.72,20.01,TRADE
VIC1,2025-06-02 02:20:00,4232.97,6.95,TRADE
VIC1,2025-06-02 02:25:00,4128.26,19.19,TRADE
VIC1,2025-06-02 02:30:00,4178.49,0.01,TRADE
VIC1,2025-06-02 02:35:00,4200.48,68.05,TRADE
VIC1,2025-06-02 02:40:00,4165.81,19.19,TRADE
VIC1,2025-06-02 02:45:00,4173.26,20.01,TRADE
VIC1,2025-06-02 02:50:00,4057.64,-3.77,TRADE
VIC1,2025-06-02 02:55:00,4147.22,20.01,TRADE
VIC1,2025-06-02 03:00:00,4161.82,0.01,TRADE
VIC1,2025-06-02 03:05:00,4144.55,20.63,TRADE
VIC1,2025-06-02 03:10:00,4152.58,20.01,TRADE
VIC1,2025-06-02 03:15:00,4149.32,19.19,TRADE
VIC1,2025-06-02 03:20:00,4129.48,20.01,TRADE
VIC1,2025-06-02 03:25:00,4136.32,15.6,TRADE
VIC1,2025-06-02 03:30:00,4061.34,19.19,TRADE
VIC1,2025-06-02 03:35:00,4125.22,70.48,TRADE
VIC1,2025-06-02 03:40:00,4142.8,19.19,TRADE
VIC1,2025-06-02 03:45:00,4152.36,19.19,TRADE
VIC1,2025-06-02 03:50:00,4135.77,19.19,TRADE
VIC1,2025-06-02 03:55:00,4111.6,19.19,TRADE
VIC1,2025-06-02 04:00:00,4139.68,19.19,TRADE
VIC1,2025-06-02 04:05:00,4144.91,35.95,TRADE
VIC1,2025-06-02 04:10:00,4104.72,75.01,TRADE
VIC1,2025-06-02 04:15:00,4104.44,20.01,TRADE
VIC1,2025-06-02 04:20:00,4188.4,25.63,TRADE
VIC1,2025-06-02 04:25:00,4207.19,20.69,TRADE
VIC1,2025-06-02 04:30:00,4201.79,31.25,TRADE
VIC1,2025-06-02 04:35:00,4228.98,42.35,TRADE
VIC1,2025-06-02 04:40:00,4260.04,42.35,TRADE
VIC1,2025-06-02 04:45:00,4309.89,35.15,TRADE
VIC1,2025-06-02 04:50:00,4291.13,20.01,TRADE
VIC1,2025-06-02 04:55:00,4271.25,20.01,TRADE
VIC1,2025-06-02 05:00:00,4293.12,20.01,TRADE
VIC1,2025-06-02 05:05:00,4331.82,20.01,TRADE
VIC1,2025-06-02 05:10:00,4425.03,20.01,TRADE
VIC1,2025-06-02 05:15:00,4492.05,85.76,TRADE
VIC1,2025-06-02 05:20:00,4587.81,120.0,TRADE
VIC1,2025-06-02 05:25:00,4681.91,103.32,TRADE
VIC1,2025-06-02 05:30:00,4639.67,120.0,TRADE
VIC1,2025-06-02 05:35:00,4702.72,120.0,TRADE
VIC1,2025-06-02 05:40:00,4760.46,120.0,TRADE
VIC1,2025-06-02 05:45:00,4821.44,120.0,TRADE
VIC1,2025-06-02 05:50:00,4880.56,120.0,TRADE
VIC1,2025-06-02 05:55:00,5004.51,139.41,TRADE
VIC1,2025-06-02 06:00:00,5088.2,160.0,TRADE
VIC1,2025-06-02 06:05:00,5162.21,120.0,TRADE
VIC1,2025-06-02 06:10:00,5310.0,123.97,TRADE
VIC1,2025-06-02 06:15:00,5416.96,153.99,TRADE
VIC1,2025-06-02 06:20:00,5421.33,150.8,TRADE
VIC1,2025-06-02 06:25:00,5522.87,156.63,TRADE
VIC1,2025-06-02 06:30:00,5614.65,153.28,TRADE
VIC1,2025-06-02 06:35:00,5698.15,153.99,TRADE
VIC1,2025-06-02 06:40:00,5772.42,160.89,TRADE
VIC1,2025-06-02 06:45:00,5895.3,160.0,TRADE
VIC1,2025-06-02 06:50:00,5968.49,160.0,TRADE
VIC1,2025-06-02 06:55:00,6070.55,155.95,TRADE
VIC1,2025-06-02 07:00:00,6169.85,156.05,TRADE
VIC1,2025-06-02 07:05:00,6320.62,160.0,TRADE
VIC1,2025-06-02 07:10:00,6316.95,160.0,TRADE
VIC1,2025-06-02 07:15:00,6473.68,160.0,TRADE
VIC1,2025-06-02 07:20:00,6541.11,167.68,TRADE
VIC1,2025-06-02 07:25:00,6629.36,207.37,TRADE
VIC1,2025-06-02 07:30:00,6660.68,171.49,TRADE
VIC1,2025-06-02 07:35:00,6724.08,173.23,TRADE
VIC1,2025-06-02 07:40:00,6809.92,170.34,TRADE
VIC1,2025-06-02 07:45:00,6846.75,160.0,TRADE
